Feature_Index,Feature,RF_Mean_Importance,RF_Std_Importance,RF_CI_Lower,RF_CI_Upper,RF_CV_Robustness,RF_Ranking_Stability,RF_Consistency_Index,Perm_Mean_Importance,Perm_Std_Importance,Perm_CI_Lower,Perm_CI_Upper,Perm_Ranking_Stability,Perm_Consistency_Index,Mutual_Information
93,eeg_3_percentile_75,0.017623207479769816,0.007064026028444769,0.015615633495345824,0.01963078146419381,2.4947823180900066,0.66,0.06019407579430842,0.0022337662337662324,0.018408677473082568,-0.0029979220179189134,0.007465454485451379,0.2,0.01768815390515787,0.12087844098095601
54,eeg_2_percentile_75,0.016775287846492737,0.007000085759321797,0.014785885485493044,0.01876469020749243,2.3964402985362825,0.68,0.05648189078327409,0.0063896103896103895,0.022224377999292687,7.351204686292714e-05,0.012705708732357851,0.18,0.01758608700821864,0.0929674762001389
20,eeg_1_mean_freq,0.015496451420378915,0.005937212560378326,0.013809114280309644,0.017183788560448186,2.610054971383064,0.64,0.06454192259361692,-0.001714285714285716,0.024498486867014075,-0.008676678646294553,0.00524810721772312,0.14,0.015578147812475178,0.08526040874805152
50,eeg_2_median_abs,0.014636427386927433,0.00556258449837898,0.013055558364058835,0.016217296409796033,2.6312278272932166,0.54,0.06631374691962932,0.005948051948051945,0.023899838154800138,-0.0008442069023991217,0.012740310798503011,0.22,0.0162367242067587,0.10705251615774758
49,eeg_2_mean_abs,0.01459678009906831,0.006424175170464875,0.012771049716468447,0.016422510481668172,2.27216404978503,0.54,0.031489550081880834,0.0055411255411255385,0.023696544226520778,-0.0011933578141671598,0.012275608896418237,0.24,0.01707968516192586,0.05690634034564512
39,eeg_2_mean,0.014582593214234028,0.006746063572310811,0.012665383160009005,0.01649980326845905,2.16164476390702,0.42,0.04271229785266359,-0.0014632034632034697,0.022975864116292388,-0.007992871797350944,0.005066464870944004,0.18,0.016213864006945914,0.05483098686761023
33,eeg_1_gamma_power,0.013671818916449417,0.005375961801605838,0.012143987477167878,0.015199650355730955,2.5431391008119957,0.5,0.03777622201622193,0.004502164502164498,0.022849434617871894,-0.00199157296608997,0.010995901970418966,0.14,0.01689603520913875,0.04413150358612761
66,eeg_2_theta_power,0.012803187177017245,0.004854667437516887,0.011423505956797433,0.014182868397237057,2.637294331295433,0.44,0.030846108172848073,0.000251082251082247,0.021872585576757888,-0.005965037791393601,0.0064672022935580945,0.12,0.01762978156177765,0.002695196028843272
32,eeg_1_beta_relative_power,0.012522044757700988,0.004469903618365386,0.01125171220499256,0.013792377310409417,2.801412635858792,0.4,0.042356033290880876,0.0028658008658008606,0.021101378915258935,-0.0031311446685396245,0.008862746400141345,0.12,0.017260681950312794,0.05909860368232378
164,phase_sync_eeg_1_eeg_4,0.011803263163977656,0.005127627913179844,0.010346007434899811,0.0132605188930555,2.301895366364142,0.32,0.039774940473164995,0.0005714285714285665,0.027160138660594902,-0.00714739743074051,0.008290254573597642,0.42,0.016583484507112337,0.06787719791458069
61,eeg_2_freq_std,0.011506824213979966,0.004782669593589929,0.010147604554606667,0.012866043873353265,2.405941649995655,0.26,0.03066279421224082,0.003679653679653677,0.021711283856661306,-0.0024906249211846697,0.009849932280492024,0.14,0.019281660734458264,0.052345454092267873
11,eeg_1_median_abs,0.011191364306758673,0.004630070994850029,0.009875512689300309,0.012507215924217037,2.417104203692831,0.24,0.03001014891209614,0.0006320346320346312,0.012948633043417044,-0.003047926161872596,0.004311995425941858,0.06,0.017304528801118706,0.10359241202039882
47,eeg_2_rms,0.011126598739607479,0.004505942764415483,0.009846023974916861,0.012407173504298097,2.469316428194621,0.3,0.03681644701289783,0.002874458874458871,0.020063944553088357,-0.0028276510763695184,0.00857656882528726,0.18,0.01808152678408972,0.05447355260194531
10,eeg_1_mean_abs,0.010016867718428434,0.005022470886109225,0.008589497285777339,0.011444238151079528,1.9944102705883893,0.22,0.0272597809949686,0.0034632034632034615,0.01860061884206267,-0.0018230339219853743,0.008749440848392298,0.06,0.016424234649596865,0.04145602516148128
51,eeg_2_energy,0.00999762512863036,0.004198186037297899,0.008804513858044217,0.011190736399216502,2.381415402192049,0.14,0.028102319956116145,0.00227705627705627,0.01862756226598341,-0.003016838344487128,0.007570950898599668,0.1,0.020241518163046337,0.052115062035907656
92,eeg_3_percentile_25,0.00974009432469295,0.003860176223057615,0.008643044380440593,0.010837144268945309,2.5232252388351784,0.18,0.028457237626453368,-0.0018441558441558447,0.01091932798039383,-0.00494739452031031,0.001259082831998621,0.04,0.02701460162469744,0.07715731286748606
68,eeg_2_alpha_power,0.009693605523128429,0.005710933924556339,0.008070576059825628,0.011316634986431229,1.69737655547185,0.24,0.0215162585578499,0.00023376623376622995,0.019833305813451527,-0.005402796912501874,0.005870329380034334,0.08,0.02237552540136971,0.0
0,eeg_1_mean,0.009675254092108943,0.004069324461839459,0.008518764876062315,0.010831743308155572,2.3776068841595257,0.18,0.023411064000814382,0.0015757575757575737,0.015017530032580417,-0.0026921772368144674,0.005843692388329614,0.08,0.017116213229063756,0.04484003632851152
25,eeg_1_delta_power,0.009667650573175169,0.004008853301472247,0.00852834707075308,0.010806954075597256,2.411574982917743,0.16,0.03162680782517783,0.0006320346320346282,0.02304432896464351,-0.0059170911967262275,0.007181160460795483,0.14,0.016684623303600116,0.09514437133186515
53,eeg_2_percentile_25,0.009604602707943437,0.005011689744508674,0.008180296241833874,0.011028909174053,1.916439964549529,0.16,0.023691603057594275,0.0013766233766233755,0.016865500855132352,-0.0034164989327657826,0.006169745686012533,0.08,0.02261590579765564,0.05541875365813431
