filename,direction,eeg_1_mean,eeg_1_std_dev,eeg_1_variance,eeg_1_skewness,eeg_1_kurtosis,eeg_1_dominant_freq,eeg_1_mean_freq,eeg_1_median_freq,eeg_1_freq_std,eeg_2_mean,eeg_2_std_dev,eeg_2_variance,eeg_2_skewness,eeg_2_kurtosis,eeg_2_dominant_freq,eeg_2_mean_freq,eeg_2_median_freq,eeg_2_freq_std,eeg_3_mean,eeg_3_std_dev,eeg_3_variance,eeg_3_skewness,eeg_3_kurtosis,eeg_3_dominant_freq,eeg_3_mean_freq,eeg_3_median_freq,eeg_3_freq_std,eeg_4_mean,eeg_4_std_dev,eeg_4_variance,eeg_4_skewness,eeg_4_kurtosis,eeg_4_dominant_freq,eeg_4_mean_freq,eeg_4_median_freq,eeg_4_freq_std
scrolling_down_20_6_jimmy_cleaned.csv,1,806.4529068665,10.470803714,109.6377304177,-0.46643718100000003,7.1846695363,0,1155.6749749355,1.61331654,72128.1618752676,806.6676905413,4.9990731685,24.9907325439,-0.1022452065,0.4461513037,0,999.513912501,1.5401600071,72145.0135249404,808.1677211652,6.0050471662,36.0605914682,0.0297613341,0.8679223756000001,0,1024.0629332765,1.7834805761,72279.4595168404,804.1580374584,8.9399125713,79.9220367822,0.0212837255,1.4528748615,0,1126.9302686433,1.6415338074,71921.6971310682
scrolling_down_20_4_friend_cleaned.csv,1,806.2055432664,45.0334824941,2028.0145455465,0.015157074900000001,8.6572730646,0,2311.211335805,175.0735577892,72184.6203457439,804.8722121011,7.9772007587000004,63.6357319446,-0.21520258250000002,1.8097552406,0,1120.9324466899,6.3369522322,71984.7675218125,803.0273866925,7.2464131546,52.5105036072,0.10026766720000001,1.0136465716,0,1091.5881711923,2.2972547208,71819.5818493032,792.8046394563,73.0823322659,5341.0272894242,-0.018039064400000002,1.3796972419,0,2554.7680815256,55.991553331,71165.3680387071
scrolling_up_20_15_brian_cleaned.csv,0,804.7339975314,58.9793021863,3478.5580863789,0.0427941238,5.3106736404,0,2259.2070931206,63.5382836098,72135.2578404395,801.6697945352,8.4669336211,71.6889649447,-0.2674368136,4.2456937346,0,1125.9631810086,2.6423205797,71698.6842466914,810.6340467796,127.781854065,16328.2022282851,0.5115897809000001,33.2163027736,0,3666.8287240464,25.3721374376,73308.8270204816,802.8803851143,53.0375899415,2812.9859467992,-0.4815984994,9.36971204,0,2093.3677001537,38.6129966727,71937.8494859987
scrolling_down_20_15_friend_cleaned.csv,1,803.2244124387,23.7925190739,566.0839638833,1.1442845254,5.8126091043,0,1556.3471808314,28.6279844534,71857.2302762937,803.8395397585,5.6268738584,31.6617094179,0.29942187530000003,3.2948795439,0,1013.16257072,2.890247875,71892.2166096714,800.9710576253,5.9420737511,35.3082404631,-0.2120558505,1.5634367034999999,0,1028.9849850856,3.1785311648,71635.6105700426,803.8038798408,23.4172052788,548.3655030674,0.39931273510000004,8.2131996108,0,1499.2819898398,10.860283545,71909.2758074392
scrolling_up_20_14_friend_cleaned.csv,0,806.274430462,35.0575264821,1229.0301630451,0.27378799930000003,-0.022999970800000002,0,1885.3607291819,48.4577083491,72158.8808458779,804.2703849585,6.1119890736,37.356410436,-0.0686193693,0.43128686260000004,0,1059.9601490905,4.0426127169,71930.3977145905,803.700162334,5.5737905115,31.0671406664,-0.0671529421,0.3335671937,0,1032.7764114615,3.2351777406,71879.4371599269,807.64555228,26.2662694239,689.9169094475,0.4102587012,0.7006930893000001,0,1643.7817352629,29.1307813873,72257.5070972296
scrolling_down_20_6_friend_cleaned.csv,1,806.7058345669,38.3344851631,1469.5327527183,0.4427979762,5.1515858157,0,1838.6215897272,12.5814492453,72211.9705542849,806.3625914607,6.2737590075,39.3600520841,0.2735658402,3.3358107006,0,1041.3935439355,6.8740747892,72117.9268407011,805.7986841159,6.4219653382,41.2416388049,0.1440496829,1.3681718278,0,1043.9641857755,5.4565472104,72067.5529293958,810.9319715266,66.120232903,4371.8851991436,0.2051041348,2.100470574,0,2256.9982776513,20.4774183156,72737.624157209
scrolling_down_20_12_brian_cleaned.csv,1,796.9390983917,58.0588643255,3370.8317267637,0.2316127144,0.5518024398,0,2277.3670322661,41.6786544476,71432.9916407354,800.67716663,10.1135886862,102.2846761135,0.08036044760000001,1.3598780317,0,1207.0792624852,4.2690247054,71610.2823348655,801.0874285202,22.1124824705,488.9618810062,-0.42393829,6.6982301353,0,1600.5087337081,4.8277195685,71660.8548856669,800.219642031,52.20149599,2724.9961835936,0.0532877276,3.0334861696,0,2173.9532079247,18.0231192058,71692.977172524
scrolling_down_20_6_brian_cleaned.csv,1,811.8933393021,37.3794341969,1397.2221008769,0.1663804444,0.4585470052,0,1810.5907810574,7.489730667,72672.3090030408,798.3299422283,6.3757115422,40.649697669,0.0927065831,2.4506352697000002,0,1027.6614320736,3.5629337969,71399.6823674925,814.360606761,8.9799222113,80.6390029212,-0.427475107,4.1749577134,0,1159.2689563725,4.6163275946999995,72833.8294312799,813.6870597501,34.3146377772,1177.4943657776,0.0998586519,6.7416949697,0,1775.1096763237,5.9501610543000005,72821.4309987594
scrolling_up_20_2_brian_cleaned.csv,0,809.2354185866,62.5752698038,3915.664391022,-0.6217559300000001,5.9148136642,0,2272.9633470345,53.381029683,72560.6693646542,803.9924472911,6.7631401139000005,45.7400641996,0.07307784440000001,0.2780552845,0,1068.9168698572,3.4664750815,71905.8699544603,803.0127590661,9.1962143247,84.5703579065,-0.4074606076,5.177867365,0,1150.5868597223,2.2062006387,71819.1378251963,807.5809126546,65.1372453869,4242.8607365983,-1.1104885455,9.204193342,0,2223.4496906627,31.9969810292,72432.6608539117
scrolling_up_20_6_jimmy_cleaned.csv,0,803.3399603564,11.6417437651,135.5301978929,0.1466885971,1.0637984175,0,1176.7222086446,0.5589625454,71850.8188272089,803.4065128212,5.1140998062,26.1540168274,-0.1293072888,0.43620431870000004,0,1001.3152403537,1.9493694503999999,71853.3421109879,804.8349279005,4.8120724512,23.1560412756,0.1605285504,0.3377459843,0,985.3087892522,2.9929098441,71981.167544806,803.8371560106,11.0244420657,121.5383228609,0.1525749218,0.5831128732,0,1210.2308630619,4.1088699923,71893.9560280821
