timestamps,eeg_1,eeg_2,eeg_3,eeg_4
1731304379.050801,817.088018611836,779.9147811182787,755.8063773798011,808.3800591658301
1731304379.066398,798.9410111385366,776.3493008772974,755.9679017724706,790.4830981939651
1731304379.081995,794.7405336844939,777.1621354365443,758.5446286165944,784.6239563691465
1731304379.084031,811.5401028966979,784.3158484677093,763.80939968619,797.1132212316338
1731304379.087937,844.3495363190799,796.1973203813907,769.0865234058653,824.0485086716023
1731304379.091843,876.8265761507816,808.490433458445,770.0699782251319,851.8106883145791
1731304379.0957484,890.7423680090112,816.747960261349,763.8079989776187,865.3449416307069
1731304379.097592,879.7749337916304,819.0648435620362,751.4286662564501,860.0442059105898
1731304379.0996542,856.2515923774645,816.9811575272911,738.3069658630144,846.7592621160934
1731304379.10356,842.5952110890364,814.0090645174904,730.9838843969886,843.116942533316
1731304379.1074655,852.5286908042227,813.007172355682,732.7834719633822,857.1173598596511
1731304379.1083782,878.2545892147624,814.3730037394192,741.4128375197303,878.2306724442793
1731304379.1113715,896.3646419691945,816.1313699818719,750.4766462709457,885.8249665783227
1731304379.1131887,888.6344366293874,815.4833889442885,753.8216747695512,868.5056009351947
1731304379.1152773,859.3822908621527,810.5787037436259,749.4422600222415,836.5844743550325
1731304379.1191828,832.9982061997531,801.5079598398864,740.0955970396282,815.1163819049497
1731304379.1230886,832.7634756527248,790.1972903828406,730.4899591695404,822.5295109112211
1731304379.1269944,859.5095929594701,779.4582800974152,723.7243961532938,853.6463744321038
1731304379.1272435,889.703135595515,771.769908915005,720.0866195464855,882.8313914963318
1731304379.1287858,895.5103347480331,768.4218543903725,718.8292826756119,885.3875805717239
1731304379.1309,869.3844326096171,769.358960733595,720.4835060033209,858.824149419584
1731304379.1348057,831.1105155852641,773.5811366537287,726.795080813841,825.1932850335285
1731304379.1387117,810.6960799431284,779.6805438277561,738.1142076309791,812.0916662717887
1731304379.1426172,822.2428785747401,786.2403010499446,751.1966958605075,828.7890626034468
1731304379.1443827,852.1203436497975,792.0892902429806,760.4201847849642,858.433223819452
1731304379.1461086,871.8143628041928,796.4533249268288,762.0441993842421,873.1769433490055
1731304379.146523,863.6133995936375,798.9506496484822,757.7149704453194,858.8416152501053
1731304379.1504283,836.0086784633229,799.4636537108801,753.6006861311172,827.3633178753103
1731304379.1543343,815.2533142896891,798.1251068473925,755.4289678004778,806.1234462960985
1731304379.15824,821.0386863664248,795.5726467277973,763.5978533243233,813.6668798363834
1731304379.1599796,848.3899177259406,793.1725533640771,772.6653353373011,843.237169227469
1731304379.162146,872.1071607337016,792.6772828124518,775.7228352491272,868.5320027071907
1731304379.164974,869.6459272284005,795.2831652877112,769.9219149044652,866.433752770878
1731304379.1660516,841.6688667140298,800.8597213241857,758.5395235400692,836.7005733973568
1731304379.1699572,811.6611672889451,808.1692013062877,748.1108752773158,801.6545636168368
1731304379.1738627,804.9546659398881,815.8981481639564,743.4265932178885,786.656966780289
1731304379.1755764,825.994902203934,823.3842104832432,744.7530625402006,798.6433999178846
1731304379.1777687,854.0722983209548,830.2679461490428,749.2099015273334,820.997507712731
1731304379.1816745,861.1735461220936,835.6222357087344,754.2947997948243,828.5170321305623
1731304379.183839,836.317169652223,837.8104197314068,759.8865258554433,809.3472602508929
1731304379.1855805,795.5510890626095,835.5147183282096,767.0339733551632,775.5414173920393
1731304379.1860826,769.3138280821859,829.0316447666728,775.1915521114205,753.6613754142127
1731304379.1894858,777.7356254111561,820.615894517304,780.988658650523,763.0094492107019
1731304379.1911736,814.1688974304881,813.5890109844307,780.0342884321171,799.066078831258
1731304379.1933916,850.4391901536623,810.9115278621294,770.4012059220362,835.9105194140569
1731304379.197297,859.5970625705381,813.9892555586412,754.8927316501791,846.3456093165602
1731304379.201203,837.4390428468333,822.0069342648474,740.1341503594373,823.6404286949315
1731304379.2027044,804.8516107635774,831.9350243998425,732.9824873836247,786.7594560747915
1731304379.2051086,789.1141411668862,839.5560283386956,736.6618409652572,764.418528303089
1731304379.2067704,800.3554385409689,841.5658676601197,749.0566757471594,771.3488518430435
1731304379.2090144,823.5443294344963,837.7366355908387,764.0395209129874,796.8939133789931
1731304379.2129202,832.7022259926912,831.3820095372163,774.8938687792079,815.2974486294851
1731304379.216826,814.5270274235784,827.2707246658274,777.8695989644931,808.3141600895783
1731304379.2207315,780.6740324991903,828.3061276107725,773.9587905996244,780.6583322936341
1731304379.221,758.256965376617,833.6096905842264,767.9379779121217,755.6720237163279
1731304379.2215698,766.9927946252724,839.5721183387003,765.2087165200081,755.5850988399527
1731304379.2223673,802.3447404465837,842.8906239806969,768.3140993932037,783.0521136084873
1731304379.2246373,838.5818901860845,843.0134300512359,775.374917399023,818.8646948520236
1731304379.228543,849.2811582196272,842.1158800785029,781.5796000280695,837.3778647110289
1731304379.2324488,828.694408316572,842.8878443002674,782.736936815642,827.030994881592
1731304379.2363546,796.4648148458435,846.0934554710578,778.2585693743428,799.2065104099477
1731304379.2379644,781.4434321469274,849.8362135968521,771.2877396720295,778.0856816340824
1731304379.2402604,797.6574287094778,850.9834544418171,765.9718144061585,780.043127683974
1731304379.2404351,832.3985169134461,847.5597262036467,764.1726473360683,800.1443890002953
1731304379.244166,856.4985630879588,840.3183157252572,764.2201383125216,817.2158859271378
1731304379.2480717,848.2952366389663,832.4360277525533,762.5117805500222,812.8245735196372
1731304379.2519774,811.4991286016358,827.6649273863759,756.527585564927,787.5968576336508
1731304379.2535613,772.5507187967403,828.2507419671059,746.9236669534473,760.9433258045083
1731304379.2558832,759.9583472984627,833.839507484707,737.2436198720121,754.6735351967754
1731304379.2559173,782.2268148483591,841.703004219515,731.6005122238855,774.4823286520859
1731304379.2593002,821.4929577921132,847.8233639272258,732.1126673061242,804.7387772558167
1731304379.259789,847.5423553085943,848.2930610198727,737.9500090281032,820.8350724411748
1731304379.2636943,841.4285550588696,840.7920152982415,746.4943135288412,809.0043748890938
1731304379.2676003,810.5945315566087,825.8784085777221,755.3450051504823,777.4661294787019
1731304379.269158,783.4505174969975,807.3999687539919,763.2523488176632,749.8296465806798
1731304379.271506,786.9323074839556,791.258307328485,769.2815244492413,746.3523656576018
1731304379.2754118,824.3591371330701,782.6434899104607,771.5303454891693,768.8016042637006
1731304379.2781656,871.6082269057782,783.1982853325619,767.3955505615922,801.2479007522619
1731304379.2793174,895.46739492699,790.0838199790244,755.7665388780249,824.6591571877616
1731304379.2832232,879.9102135530702,797.8375830910443,739.1775646268438,831.0806105409222
1731304379.2847552,839.118602031649,801.8998569003815,723.4266352428012,825.6113873509933
1731304379.2871287,806.5100962537639,801.347144581186,714.2532695549112,817.982980821135
1731304379.2908344,808.3421059555197,798.8828152645169,713.4578552019593,814.2198470763122
1731304379.2910347,842.8865375203852,798.1900525139318,717.6743566447681,814.7405971132723
1731304379.2949405,881.8026531190694,800.7640300341562,721.0216639695108,817.1291638293291
1731304379.2970307,892.7660935645811,804.6995820459015,719.7182170364466,819.2075446480065
1731304379.298846,865.4189882179301,806.3019443650455,715.0689284037227,820.2436862515985
1731304379.300352,819.6984555289504,803.0992429402493,712.4191706384175,820.5788551559652
1731304379.3027518,789.4829380702033,795.7480346503544,716.8335803001036,820.8006204137939
1731304379.3066576,794.7813337972411,787.3533131970734,728.8957295172149,821.2347162800783
1731304379.310563,825.6984030786638,780.9897612143742,743.9289251812604,821.8906354707059
1731304379.314469,851.8308387813779,777.6994701645062,755.1145372813895,822.6359714340532
1731304379.315896,848.9585869721685,776.5863613598209,757.8790082396795,823.3600600108625
1731304379.315949,819.8731594161413,776.48936880235,752.2484367895837,824.0307443774848
1731304379.3183746,791.444492904857,777.2541281896067,741.962805259154,824.6697231388799
1731304379.3222804,790.7817258450273,779.299872338174,731.7678663020404,825.3083026195168
1731304379.3257515,821.1389320668953,782.1807956824745,725.1360612871948,825.9623724873026
1731304379.3261862,858.0459725175466,783.9702907878172,723.495723661543,826.631281797101
1731304379.330092,869.0193024294447,782.3805376156793,726.4895827399737,827.3076947500692
1731304379.3315458,840.825619524213,776.6352372372116,732.3587330441267,827.9860112771707
1731304379.3339975,792.0710893330933,768.2826823133552,738.2849548062239,828.6649055660122
1731304379.3347614,760.2776004933671,760.1838191616777,741.2277480463985,829.3457345377869
1731304379.3379033,772.6535256599504,754.6720856262234,739.4529194619461,830.0301448793202
1731304379.341809,823.2605601761124,752.5501643841234,733.8741187415981,830.7188284171258
1731304379.3457148,875.4795341817409,753.5710046591831,727.8562877747858,831.4115923858508
1731304379.3471427,889.3720728634494,757.489372685524,725.1362835767032,832.1080381766957
1731304379.3496206,853.1231018811255,764.3135066590909,727.257945219951,832.808139327626
1731304379.353526,793.1789849089571,773.4660479857682,732.617465520375,833.5123278831584
1731304379.3536267,754.0616207141882,782.9445555183428,737.9509705099443,834.2210083984883
1731304379.357432,763.4743576344913,789.7166628873143,740.9572302240196,834.9337572837968
1731304379.360669,810.7234831841371,791.3610759215421,741.8025413790017,835.6489043137534
1731304379.3613377,855.9902234289361,787.7232063435631,742.3929243128352,836.3644381769999
1731304379.3627398,862.989077950074,781.3267870259662,744.3434364930916,837.0805577929945
1731304379.3652434,828.4295254380944,776.2973840720236,747.5736257972061,837.8023230790436
1731304379.3691492,784.1840483240163,776.4931414060302,750.6341378178665,838.5387179095587
1731304379.3724918,770.4447952477656,783.733353813925,752.19631008628,839.29476453433
1731304379.3730547,802.2171889924681,796.7749672068526,752.2040796467281,840.0589498750148
1731304379.3769605,857.0579537767327,811.5096825887944,751.6973964330178,840.7980193217971
1731304379.378337,894.0024268997743,822.6047437660558,751.624847173829,841.4764704947721
1731304379.3808663,887.3241476487653,826.0733976009948,751.8533040994748,842.1051696428949
1731304379.384772,846.7188531089068,821.3437790854821,751.3420258222167,842.7870523348176
1731304379.3886778,807.7779330975554,811.3575464219164,749.3440266420887,843.6896185321932
1731304379.3913572,801.9572544993987,800.5728689975922,746.4851064821343,844.8871306477932
1731304379.3925834,831.6167244747065,792.4340791208647,744.5762805205947,846.1291679693247
1731304379.3939338,870.0292453096317,788.2122523816219,745.1647106954367,846.7746063141483
1731304379.395586,884.8482492696235,787.674996775685,748.1532400849403,846.2073885188156
1731304379.3964891,864.8273012617684,790.2670838181458,751.9510420015326,844.7717187468876
1731304379.400395,828.0796687534424,795.254279789978,755.1772180666833,844.5652233978764
1731304379.4043007,805.8934204689662,800.8410580806153,758.2324423696505,848.776325068134
1731304379.4082065,816.0756986677063,803.8471845105553,762.9586388619635,858.6830581317794
1731304379.4095306,848.1097850126764,801.205822813135,770.474811482844,869.8358189731332
1731304379.4102223,872.3848519466754,792.4781837008999,779.2624803856831,872.0094747574227
